doğ	606183
oğu	570446
ğum	191113
umy	111430
mye	181013
yer	1087012
eri	5986188
rio	257091
ion	899439
ono	334177
non	162355
onn	127041
nne	348257
neh	123326
ehr	179661
hri	290641
rid	502991
idü	128602
dül	309982
ülü	218211
lün	138791
ünb	54511
nbo	124707
bol	647978
old	817876
lda	224566
dak	1009648
akm	143693
kmo	49057
moğ	24562
oğo	16360
ğol	19312
oli	602652
lis	1064196
ist	2126532
sta	1854464
tan	1739461
anö	124950
nöl	73395
ölü	687882
lüm	655890
ümt	171190
mta	244310
tar	2416541
ari	2198284
rih	1208303
ihi	519888
hiö	49157
iöl	86964
ümy	78817
rim	479093
imo	189388
lim	780869
imp	322423
mpa	269737
par	1317311
ara	4933807
rat	801268
ato	614755
tor	686526
orl	336068
rlu	156153
luğ	323499
uğu	849989
ğud	56470
ude	142467
def	277786
efi	194879
fin	277829
int	696557
nta	915827
hid	145873
ide	1017019
iny	361448
nye	276063
rib	335314
ibi	1061884
bil	1306666
ili	2400289
lin	1208315
inm	335138
nme	553531
mem	247996
eme	1270008
mek	864458
ekt	786029
kte	841587
ted	695540
edi	2235065
dir	1696792
ird	588854
rdi	743532
din	692291
ini	2826081
nit	358729
ite	1100500
ten	607898
eng	497056
ngr	200907
gri	127897
ric	414680
ici	313440
cil	268340
lik	1301333
iki	1302790
kim	498143
imz	74877
mza	114306
zac	26627
ace	285040
cen	2036606
ngi	537652
giz	48985
izh	27632
zha	59086
han	671879
ani	1036237
nis	798138
ism	176857
smi	286988
min	902523
niç	127663
içi	1032138
çin	992361
ing	1384106
ngg	36122
ggi	24804
gis	167759
isk	167969
skh	8197
kha	204903
haa	58560
aan	172924
ano	513711
nol	533424
ola	2216302
lar	6948304
rak	1921139
akr	132426
kro	115672
rom	397771
oma	494105
man	1987705
niz	410760
iza	215234
zas	105777
asy	348945
syo	531386
yon	1038962
onr	601757
nro	188891
ize	317692
zee	29904
eed	267408
dip	131633
ipk	25331
pku	23936
kul	1952926
ull	1343770
lla	1987174
lan	4249446
anı	2929530
nır	206754
ırl	243337
rla	785522
ard	1584007
rdo	184863
uma	412228
mad	998490
adı	1748912
dıy	148581
ıyl	342977
yla	651539
lat	753107
ate	861709
tem	865816
emu	101574
muç	4873
uçi	15140
nya	1435480
yad	489338
ada	2221847
dat	419874
ati	978571
tim	578086
imu	134651
nte	2598996
emü	88370
müj	3805
üji	380
jin	95001
inn	168684
nna	171680
nam	427412
ame	1044676
met	902140
ete	1223020
muj	2653
uji	13814
ina	1179743
nağ	84898
ağu	181204
ğus	231044
ust	614719
sto	693831
tos	300409
osm	204859
smo	70428
ğun	477535
unu	895587
nun	792254
unk	127804
nku	434760
kur	694162
uru	819247
ruc	91141
ucu	204344
cus	149653
usu	534537
suv	26276
uve	221484
vei	215074
eil	339150
ilk	543526
lkh	15792
anü	81250
nün	233681
ünv	16022
nva	143923
van	427712
anh	267478
nha	407234
nıo	81044
ıol	458703
anm	878877
nmo	84181
oll	436703
arm	381064
rmo	109218
olk	251253
lko	132323
kom	294384
omu	157306
mut	220674
uta	278066
anv	255377
nve	537092
veh	160011
ehü	25639
hük	114288
ükü	78002
küm	82271
ümd	77532
mda	245741
dar	739901
rdı	596648
dır	1228684
ırh	103368
rhü	21315
arl	755481
rlı	210459
lığ	485665
ığı	1199885
ğıd	97429
ıdö	37625
dön	370527
öne	781617
nem	645553
emi	1093327
ind	2638109
nde	3411588
deg	217219
ege	597563
ger	729410
erç	226981
rçe	219846
çek	374156
ekl	776926
kle	1185802
leş	652705
eşt	240039
şti	850678
tir	1177149
diğ	568703
iği	1065856
ğih	21247
hiç	67321
içb	50059
çbi	56657
bir	3885526
irs	499741
rsa	505113
sav	386216
ava	665242
vaş	271146
aşı	706363
şık	188985
ıka	632830
kay	806660
ayb	143097
ybe	85350
bet	158446
etm	532407
tme	524960
mey	418198
eye	835122
yen	695684
ent	2962340
nti	453512
ndü	202787
dün	396630
üny	363582
yat	509449
ata	1029274
hin	470277
nin	1902710
ine	2100217
nen	562322
enb	712220
nbü	123751
büy	377943
üyü	413897
yük	591451
üka	95029
kas	513095
ask	358907
ske	289428
ker	373136
erl	989437
rli	914129
lid	367135
der	1420027
rle	1212279
ler	5806777
rin	2592115
den	1980982
nbi	988084
iri	1214089
ris	980251
isi	1638356
sio	306151
iol	623259
akk	408733
kka	418381
kab	394169
abu	463834
bul	985576
ule	179930
led	728966
dil	941797
ilm	1163955
lme	610967
irb	565360
rbu	490811
bus	181024
use	327988
seb	275718
ebe	519746
bep	28547
epl	114442
ple	211427
edo	268248
umi	105922
mis	321175
mio	64248
ant	1387877
enç	221799
nço	169282
çok	372395
okg	25654
kgü	58347
güç	100691
üçl	75180
çlü	39642
lüh	8932
ühü	4553
ran	1592410
anl	1373826
nla	1654484
lam	1816748
amı	473671
mın	336216
ına	1257552
nag	280891
age	660597
gel	844083
ele	2266215
len	1901160
enc	339775
nce	2652526
miy	334291
iyl	307084
yle	2012600
lea	391917
ean	351550
nıl	303404
ılm	598542
lma	1419430
mak	1084852
akt	962497
kta	1047136
tad	744428
ıry	107034
ryü	79342
yüz	406339
üzy	116366
zyı	119324
yıl	1789392
ılı	1247514
lın	799980
